"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","uss","2","1978","211","198","221","179","179","187","303","303","303","0.2"
"K","uss","2","1979","190","184","193","163","162","174","303","303","303","0.21"
"K","uss","2","1980","213","189","219","174","170","180","293","279","303","0.19"
"K","uss","2","1981","215","199","253","113","92","153","266","260","273","0.25"
"K","uss","2","1982","240","230","251","200","171","225","266","255","278","0.13"
"K","uss","2","1983","199","188","208","123","92","163","274","265","285","0.32"
"K","uss","2","1984","211","179","286","157","153","165","302","300","303","0.36"
"K","uss","2","1985","181","171","189","149","146","154","287","252","303","0.37"
"K","uss","2","1986","170","161","175","143","141","148","294","275","303","0.39"
"K","uss","2","1987","191","175","204","147","144","153","299","290","303","0.52"
"K","uss","2","1988","179","171","183","151","149","154","303","303","303","0.46"
"K","uss","2","1989","175","162","183","135","124","145","290","277","303","0.33"
"K","uss","2","1990","195","184","199","120","107","128","280","273","289","0.41"
"K","uss","2","1991","179","168","189","126","92","140","241","217","303","0.51"
"K","uss","2","1992","249","230","281","140","113","157","293","271","303","0.44"
"K","uss","2","1993","249","235","282","100","92","112","294","272","303","0.56"
"K","uss","2","1994","180","172","186","151","148","154","276","259","303","0.32"
"K","uss","2","1995","209","155","243","136","132","139","270","264","275","0.47"
"K","uss","2","1996","173","168","179","147","144","151","277","266","303","0.39"
"K","uss","2","1997","190","151","291","131","127","134","303","303","303","0.64"
"K","uss","2","1998","251","193","282","143","141","147","298","287","303","0.61"
"K","uss","2","1999","231","216","247","160","157","164","278","270","289","0.43"
"K","uss","2","2000","184","179","189","160","157","163","281","272","292","0.3"
"K","uss","2","2001","187","159","226","133","130","136","296","288","303","0.65"
"K","uss","2","2002","192","165","233","130","107","140","294","284","303","0.64"
"K","uss","2","2003","203","183","223","146","145","152","302","303","303","0.64"
"K","uss","2","2004","225","216","234","186","184","188","303","303","303","0.51"
"K","uss","2","2005","252","242","262","140","134","149","297","293","303","0.57"
"K","uss","2","2006","227","203","246","150","142","161","295","284","303","0.52"
"K","uss","2","2007","257","213","293","177","177","184","303","303","303","0.45"
"K","uss","2","2008","276","266","296","157","154","162","303","303","303","0.57"
"K","uss","2","2009","243","205","275","113","97","123","300","296","303","0.72"
"K","uss","2","2010","273","247","291","100","92","145","303","303","303","0.69"
"K","uss","2","2011","208","189","244","164","162","166","303","303","303","0.61"
"K","uss","2","2012","265","246","284","93","92","96","303","303","303","0.57"
"K","uss","2","2013","254","243","268","173","157","187","303","303","303","0.43"
"K","uss","2","2014","232","200","283","113","92","176","303","303","303","0.55"
"K","uss","2","2015","214","198","230","158","156","161","302","301","303","0.64"
"K","uss","2","2016","271","254","286","143","136","150","303","303","303","0.44"
"K","uss","2","2017","185","177","185","166","162","170","247","200","263","0.13"
