"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1981
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Daily total,,,,1,0,1,11,11,6,0,2
Sep 24 1981,1,1,Albion,0,0,0,12,7,5,1,1
Sep 24 1981,1,2,Albion,0,0,0,12,26,11,0,1
Daily total,,,,0,0,0,24,33,16,1,2
Sep 26 1981,1,1,Albion,1,0,3,7,3,6,1,0
Sep 26 1981,1,2,Albion,2,0,2,5,17,8,0,0
Daily total,,,,3,0,5,12,20,14,1,0
Sep 29 1981,1,1,Albion,1,0,1,9,6,5,3,0
Sep 29 1981,1,2,Albion,4,0,1,3,21,9,0,1
Daily total,,,,5,0,2,12,27,14,3,1
Oct 01 1981,1,1,Albion,0,0,1,7,36,9,3,1
Oct 01 1981,1,2,Albion,0,0,2,2,28,18,2,0
Daily total,,,,0,0,3,9,64,27,5,1
Oct 03 1981,1,1,Albion,0,0,2,6,29,3,1,0
Oct 03 1981,1,2,Albion,1,0,1,1,19,6,1,0
,,,,,,,,,,,
1981 Vessel 1 Totals,,,,347,0,31,493,235,480,15,22
,,,,,,,,,,,
1981 Totals,,,,347,0,31,493,235,480,15,22
,,,,,,,,,,,
"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1982
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Apr 02 1982,1,1,Albion,0,0,0,0,0,1,0,0
Apr 02 1982,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,2,0,0
Apr 05 1982,1,1,Albion,0,0,0,0,0,0,0,0
Apr 05 1982,1,2,Albion,0,0,0,0,0,0,0,0
Daily total,,,,0,0,0,0,0,0,0,0
Apr 07 1982,1,1,Albion,0,0,0,0,0,3,0,0
Apr 07 1982,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,4,0,0
Apr 09 1982,1,1,Albion,0,0,0,0,0,1,0,0
Apr 09 1982,1,2,Albion,0,0,0,0,0,0,0,0
Daily total,,,,0,0,0,0,0,1,0,0
Apr 12 1982,1,1,Albion,0,0,0,0,0,0,0,0
Apr 12 1982,1,2,Albion,0,0,0,0,0,2,0,0
Daily total,,,,0,0,0,0,0,2,0,0
Apr 14 1982,1,1,Albion,0,0,0,0,0,0,0,0
Apr 14 1982,1,2,Albion,0,0,0,0,0,0,0,0
Daily total,,,,0,0,0,0,0,0,0,0
Apr 16 1982,1,1,Albion,0,0,0,0,0,1,0,0
Apr 16 1982,1,2,Albion,0,0,0,0,0,0,0,1
Daily total,,,,0,0,0,0,0,1,0,1
Apr 19 1982,1,1,Albion,0,0,0,0,0,1,0,0
Apr 19 1982,1,2,Albion,0,0,0,0,0,2,0,1
Daily total,,,,0,0,0,0,0,3,0,1
