Date,,Net Length,Catch,Sets,Effort,CPUE
23-Apr-17,,200,0,2,16100,0
24-Apr-17,,200,0,2,15600,0
25-Apr-17,,200,0,2,16100,0
26-Apr-17,,200,2,2,15500,0.13
27-Apr-17,,200,0,2,15200,0
28-Apr-17,,200,0,2,15700,0
29-Apr-17,,200,0,2,15900,0
Statweek 04/4,,,2,14,,
30-Apr-17,,150,0,2,11475,0
1-May-17,,200,0,2,15600,0
2-May-17,,200,0,2,14000,0
3-May-17,,200,0,2,14100,0
4-May-17,,200,0,2,13600,0
5-May-17,,200,0,2,12600,0
6-May-17,,200,0,2,13100,0
Statweek 04/5,,,0,14,,
7-May-17,,200,0,2,13200,0
8-May-17,,200,0,2,13900,0
9-May-17,,200,0,2,13900,0
10-May-17,,200,0,2,13100,0
11-May-17,,200,0,2,12900,0
12-May-17,,200,1,2,12800,0.08
13-May-17,,200,0,2,12600,0
Statweek 05/1,,,1,14,,
14-May-17,,200,0,2,12500,0
15-May-17,,200,0,2,12000,0
16-May-17,,200,0,2,12900,0
17-May-17,,200,1,2,13200,0.08
18-May-17,,200,0,2,12800,0
19-May-17,,200,0,2,12000,0
20-May-17,,200,0,2,12300,0
Statweek 05/2,,,1,14,,
21-May-17,,200,0,2,12000,0
22-May-17,,200,0,2,11300,0
23-May-17,,200,0,2,11400,0
24-May-17,,200,0,2,11300,0
25-May-17,,200,0,2,12100,0
26-May-17,,200,0,2,11800,0
27-May-17,,200,0,2,12600,0
Statweek 05/3,,,0,14,,
28-May-17,,200,1,2,13200,0.08
29-May-17,,200,0,2,10100,0
30-May-17,,200,0,2,10600,0
31-May-17,,200,0,2,10700,0
1-Jun-17,,200,0,2,11500,0
2-Jun-17,,200,0,2,10100,0
3-Jun-17,,200,0,2,9700,0
Statweek 05/4,,,1,14,,
4-Jun-17,,200,0,2,9600,0
5-Jun-17,,200,0,2,10100,0
6-Jun-17,,200,0,2,10200,0
7-Jun-17,,200,1,2,11100,0.09
8-Jun-17,,200,1,2,10300,0.1
9-Jun-17,,200,0,2,10700,0
10-Jun-17,,200,2,2,10800,0.19
Statweek 06/1,,,4,14,,
11-Jun-17,,200,0,2,10900,0
12-Jun-17,,200,0,2,11100,0
13-Jun-17,,200,0,2,10900,0
14-Jun-17,,200,0,2,10100,0
15-Jun-17,,200,0,2,10600,0
16-Jun-17,,200,0,2,11200,0
17-Jun-17,,200,1,2,11100,0.09
Statweek 06/2,,,1,14,,
18-Jun-17,,200,0,2,10700,0
19-Jun-17,,200,0,2,11400,0
20-Jun-17,,200,0,2,11100,0
21-Jun-17,,200,0,2,11400,0
22-Jun-17,,200,0,2,11900,0
23-Jun-17,,200,0,2,12300,0
24-Jun-17,,200,3,2,12200,0.25
Statweek 06/3,,,3,14,,
25-Jun-17,,200,1,2,12500,0.08
26-Jun-17,,200,3,2,12200,0.25
27-Jun-17,,200,1,2,11900,0.08
28-Jun-17,,200,3,2,12400,0.24
29-Jun-17,,200,4,2,12100,0.33
30-Jun-17,,200,1,2,12100,0.08
1-Jul-17,,200,0,2,11700,0
Statweek 06/4,,,13,14,,
2-Jul-17,,200,1,2,11600,0.09
3-Jul-17,,200,1,2,11500,0.09
4-Jul-17,,200,2,2,12400,0.16
5-Jul-17,,200,2,2,12900,0.16
6-Jul-17,,200,1,2,12800,0.08
7-Jul-17,,200,1,2,13000,0.08
8-Jul-17,,200,1,2,14000,0.07
Statweek 07/1,,,9,14,,
9-Jul-17,,200,5,2,15300,0.33
10-Jul-17,,200,2,2,14300,0.14
11-Jul-17,,200,0,2,13600,0
12-Jul-17,,200,0,2,13700,0
13-Jul-17,,200,0,2,13500,0
14-Jul-17,,200,1,2,14400,0.07
15-Jul-17,,200,0,2,13700,0
Statweek 07/2,,,8,14,,
16-Jul-17,,200,1,2,13800,0.07
17-Jul-17,,200,0,2,13200,0
18-Jul-17,,200,2,2,14100,0.14
19-Jul-17,,200,1,2,16200,0.06
20-Jul-17,,200,0,2,15700,0
21-Jul-17,,200,5,2,16000,0.31
22-Jul-17,,200,3,2,15000,0.2
Statweek 07/3,,,12,14,,
23-Jul-17,,200,3,2,15400,0.19
24-Jul-17,,200,4,2,15400,0.26
25-Jul-17,,200,3,2,15600,0.19
26-Jul-17,,200,1,2,15100,0.07
27-Jul-17,,200,0,2,15100,0
28-Jul-17,,200,1,2,14600,0.07
29-Jul-17,,200,0,2,15200,0
Statweek 07/4,,,12,14,,
30-Jul-17,,200,0,2,15500,0
31-Jul-17,,200,2,2,15700,0.13
1-Aug-17,,200,0,2,15000,0
2-Aug-17,,200,0,2,15100,0
3-Aug-17,,200,1,2,15900,0.06
4-Aug-17,,200,2,2,15200,0.13
5-Aug-17,,200,4,2,15600,0.26
Statweek 07/5,,,9,14,,
6-Aug-17,,200,2,2,15300,0.13
7-Aug-17,,200,5,2,15500,0.32
8-Aug-17,,200,6,2,15900,0.38
9-Aug-17,,200,5,2,15400,0.32
10-Aug-17,,200,10,2,15500,0.65
11-Aug-17,,200,13,2,15400,0.84
12-Aug-17,,200,8,2,15000,0.53
Statweek 08/1,,,49,14,,
13-Aug-17,,200,3,2,15600,0.19
14-Aug-17,,200,4,2,15300,0.26
15-Aug-17,,200,2,2,15200,0.13
16-Aug-17,,200,3,2,15500,0.19
17-Aug-17,,200,1,2,15600,0.06
18-Aug-17,,200,8,2,16200,0.49
19-Aug-17,,200,8,2,15200,0.53
Statweek 08/2,,,29,14,,
20-Aug-17,,200,1,2,15500,0.06
21-Aug-17,,200,20,2,16100,1.24
22-Aug-17,,200,13,2,16100,0.81
23-Aug-17,,200,34,2,17000,2
24-Aug-17,,200,36,2,17500,2.06
25-Aug-17,,200,28,2,17200,1.63
26-Aug-17,,200,3,2,16300,0.18
Statweek 08/3,,,135,14,,
27-Aug-17,,200,1,2,15300,0.07
28-Aug-17,,150,2,2,11475,0.17
29-Aug-17,,200,3,2,17000,0.18
30-Aug-17,,200,2,2,15300,0.13
31-Aug-17,,200,5,2,15700,0.32
2-Sep-17,,200,3,2,15900,0.19
Statweek 08/4,,,16,12,,
4-Sep-17,,200,7,2,16000,0.44
6-Sep-17,,200,10,2,16300,0.61
8-Sep-17,,200,9,2,16000,0.56
Statweek 09/1,,,26,6,,
10-Sep-17,,200,10,2,16500,0.61
12-Sep-17,,200,11,2,16200,0.68
14-Sep-17,,200,13,2,16700,0.78
16-Sep-17,,200,9,2,15600,0.58
Statweek 09/2,,,43,8,,
18-Sep-17,,200,39,2,17800,2.19
20-Sep-17,,200,20,2,18900,1.06
22-Sep-17,,200,31,2,18100,1.71
Statweek 09/3,,,90,6,,
24-Sep-17,,200,23,2,18500,1.24
26-Sep-17,,200,9,2,21300,0.42
28-Sep-17,,200,4,2,20000,0.2
30-Sep-17,,200,2,2,18600,0.11
Statweek 09/4,,,38,8,,
2-Oct-17,,200,5,2,21100,0.24
4-Oct-17,,200,6,2,20700,0.29
6-Oct-17,,200,1,2,19400,0.05
Statweek 10/1,,,12,6,,
8-Oct-17,,200,5,2,20100,0.25
10-Oct-17,,200,1,2,18000,0.06
12-Oct-17,,200,3,2,17500,0.17
14-Oct-17,,200,2,2,21200,0.09
Statweek 10/2,,,11,8,,
16-Oct-17,,200,4,2,23000,0.17
18-Oct-17,,200,1,2,19800,0.05
20-Oct-17,,200,5,2,17700,0.28
Statweek 10/3,,,10,6,,
