Date,,Net Length,Catch,Sets,Effort,CPUE
25-Apr-12,,200,0,2,12900,0
26-Apr-12,,200,0,2,14300,0
27-Apr-12,,200,1,2,13100,0.08
28-Apr-12,,200,0,2,12800,0
Statweek 04/4,,,1,8,,
29-Apr-12,,200,2,2,11900,0.17
30-Apr-12,,200,1,2,12500,0.08
1-May-12,,200,0,2,10500,0
2-May-12,,200,0,2,11600,0
3-May-12,,200,0,2,11500,0
4-May-12,,200,0,2,12400,0
5-May-12,,200,0,2,12500,0
Statweek 04/5,,,3,14,,
6-May-12,,200,0,2,13400,0
7-May-12,,200,0,2,13000,0
8-May-12,,200,0,2,13200,0
9-May-12,,200,0,2,13100,0
10-May-12,,200,0,2,12300,0
11-May-12,,200,1,2,12100,0.08
12-May-12,,200,0,2,11400,0
Statweek 05/1,,,1,14,,
13-May-12,,200,0,2,11600,0
14-May-12,,200,0,2,11500,0
15-May-12,,200,0,2,11500,0
16-May-12,,200,0,2,11200,0
17-May-12,,200,0,2,11800,0
18-May-12,,200,0,2,11400,0
19-May-12,,200,0,2,11900,0
Statweek 05/2,,,0,14,,
20-May-12,,200,0,2,11800,0
21-May-12,,200,0,2,12100,0
22-May-12,,200,1,2,12400,0.08
23-May-12,,200,0,2,12800,0
24-May-12,,200,1,2,13300,0.08
25-May-12,,200,0,2,12400,0
26-May-12,,200,0,2,11900,0
Statweek 05/3,,,2,14,,
27-May-12,,200,2,2,11300,0.18
28-May-12,,200,1,2,12200,0.08
29-May-12,,200,1,2,12000,0.08
30-May-12,,200,0,2,11700,0
31-May-12,,200,0,2,11600,0
1-Jun-12,,200,0,2,12100,0
2-Jun-12,,200,0,2,11100,0
Statweek 05/4,,,4,14,,
3-Jun-12,,200,0,2,11000,0
4-Jun-12,,200,0,2,11700,0
5-Jun-12,,200,0,2,11400,0
6-Jun-12,,200,0,2,11600,0
7-Jun-12,,200,0,2,11500,0
8-Jun-12,,200,1,2,11300,0.09
9-Jun-12,,200,1,2,11000,0.09
Statweek 06/1,,,2,14,,
10-Jun-12,,200,0,2,10500,0
11-Jun-12,,200,0,2,10200,0
12-Jun-12,,200,0,2,10400,0
13-Jun-12,,200,0,2,10500,0
14-Jun-12,,200,0,2,10400,0
15-Jun-12,,200,1,2,10300,0.1
16-Jun-12,,200,1,2,10800,0.09
Statweek 06/2,,,2,14,,
17-Jun-12,,200,0,2,10200,0
18-Jun-12,,200,1,2,10500,0.1
19-Jun-12,,200,0,2,10500,0
20-Jun-12,,200,0,2,10500,0
21-Jun-12,,200,0,2,11100,0
22-Jun-12,,200,0,2,11000,0
23-Jun-12,,200,1,2,10400,0.1
Statweek 06/3,,,2,14,,
