Date,,Net Length,Catch,Sets,Effort,CPUE
26-Apr-15,,200,0,2,13500,0
27-Apr-15,,200,0,2,14600,0
28-Apr-15,,200,1,2,15300,0.07
29-Apr-15,,200,0,2,15100,0
30-Apr-15,,200,0,2,15500,0
1-May-15,,200,0,2,16300,0
2-May-15,,200,0,2,15500,0
Statweek 04/5,,,1,14,,
3-May-15,,200,2,2,16300,0.12
4-May-15,,200,0,2,15900,0
5-May-15,,200,2,2,17600,0.11
6-May-15,,200,1,2,15800,0.06
7-May-15,,200,0,2,15800,0
8-May-15,,200,0,2,15700,0
9-May-15,,200,0,2,16100,0
Statweek 05/1,,,5,14,,
10-May-15,,200,1,2,16500,0.06
11-May-15,,200,0,2,15600,0
12-May-15,,200,0,2,15600,0
13-May-15,,200,2,2,15600,0.13
14-May-15,,200,0,2,15600,0
15-May-15,,200,0,2,14200,0
16-May-15,,200,0,2,16100,0
Statweek 05/2,,,3,14,,
17-May-15,,200,0,2,15300,0
18-May-15,,200,0,2,15400,0
19-May-15,,200,1,2,15300,0.07
20-May-15,,200,0,2,15000,0
21-May-15,,200,0,2,14900,0
22-May-15,,200,0,2,13300,0
23-May-15,,200,1,2,14000,0.07
Statweek 05/3,,,2,14,,
24-May-15,,200,0,2,12500,0
25-May-15,,200,0,2,12500,0
26-May-15,,200,1,2,12900,0.08
27-May-15,,200,0,2,12500,0
28-May-15,,200,0,2,13000,0
29-May-15,,200,1,2,12800,0.08
30-May-15,,200,0,2,11900,0
Statweek 05/4,,,2,14,,
31-May-15,,200,0,2,12000,0
1-Jun-15,,200,0,2,12500,0
2-Jun-15,,200,0,2,12100,0
3-Jun-15,,200,0,2,12700,0
4-Jun-15,,200,0,2,12300,0
5-Jun-15,,200,0,2,12900,0
6-Jun-15,,200,3,2,12600,0.24
Statweek 06/1,,,3,14,,
7-Jun-15,,200,0,2,12400,0
8-Jun-15,,200,1,2,12900,0.08
9-Jun-15,,200,0,2,12500,0
10-Jun-15,,200,0,2,12100,0
11-Jun-15,,200,4,2,12700,0.31
12-Jun-15,,200,2,2,12900,0.16
13-Jun-15,,200,1,2,13000,0.08
Statweek 06/2,,,8,14,,
14-Jun-15,,200,4,2,13800,0.29
15-Jun-15,,200,6,2,15000,0.4
16-Jun-15,,200,12,2,15300,0.78
17-Jun-15,,200,4,2,15900,0.25
18-Jun-15,,200,7,2,15400,0.45
19-Jun-15,,200,9,2,15800,0.57
20-Jun-15,,200,4,2,15200,0.26
Statweek 06/3,,,46,14,,
21-Jun-15,,200,6,2,15200,0.39
22-Jun-15,,200,15,2,16300,0.92
23-Jun-15,,200,30,2,15400,1.95
24-Jun-15,,200,17,2,13900,1.22
25-Jun-15,,200,23,2,15100,1.52
26-Jun-15,,200,10,2,15600,0.64
27-Jun-15,,200,23,2,15000,1.53
Statweek 06/4,,,124,14,,
