Date,,Net Length,Catch,Sets,Effort,CPUE
24-Apr-16,,200,0,2,12800,0
25-Apr-16,,200,0,2,12500,0
26-Apr-16,,200,0,2,13000,0
27-Apr-16,,200,0,2,12800,0
28-Apr-16,,200,0,2,11900,0
29-Apr-16,,200,0,2,11700,0
30-Apr-16,,200,0,2,11600,0
Statweek 04/5,,,0,14,,
1-May-16,,200,0,2,11500,0
2-May-16,,200,0,2,12100,0
3-May-16,,200,0,2,12300,0
4-May-16,,200,0,2,13200,0
5-May-16,,200,0,2,14100,0
6-May-16,,200,0,2,14000,0
7-May-16,,200,0,2,14000,0
Statweek 05/1,,,0,14,,
8-May-16,,200,0,2,13200,0
9-May-16,,200,0,2,12900,0
10-May-16,,200,0,2,12700,0
11-May-16,,200,0,2,12800,0
12-May-16,,200,0,2,12600,0
13-May-16,,200,0,2,12600,0
14-May-16,,200,0,2,12700,0
Statweek 05/2,,,0,14,,
15-May-16,,200,0,2,12500,0
16-May-16,,200,0,2,12900,0
17-May-16,,200,0,2,12900,0
18-May-16,,200,0,2,13300,0
19-May-16,,200,0,2,13700,0
20-May-16,,200,0,2,14600,0
21-May-16,,200,0,2,15200,0
Statweek 05/3,,,0,14,,
22-May-16,,200,0,2,13900,0
23-May-16,,200,1,2,12900,0.08
24-May-16,,200,2,2,13200,0.15
25-May-16,,200,0,2,13800,0
26-May-16,,200,1,2,13400,0.07
27-May-16,,200,0,2,14000,0
28-May-16,,200,2,2,13700,0.15
Statweek 05/4,,,6,14,,
29-May-16,,200,0,2,12700,0
30-May-16,,200,0,2,12400,0
31-May-16,,200,0,2,12900,0
1-Jun-16,,200,0,2,13500,0
2-Jun-16,,200,2,2,14200,0.14
3-Jun-16,,200,0,2,14900,0
4-Jun-16,,200,1,2,15700,0.06
Statweek 06/1,,,3,14,,
5-Jun-16,,200,1,2,15600,0.06
6-Jun-16,,200,0,2,14400,0
7-Jun-16,,200,3,2,13700,0.22
8-Jun-16,,200,1,2,13500,0.07
9-Jun-16,,200,0,2,12600,0
10-Jun-16,,200,1,2,13100,0.08
11-Jun-16,,200,1,2,11400,0.09
Statweek 06/2,,,7,14,,
12-Jun-16,,200,2,2,13100,0.15
13-Jun-16,,200,4,2,11400,0.35
14-Jun-16,,200,0,2,11800,0
15-Jun-16,,200,0,2,11700,0
16-Jun-16,,200,2,2,13200,0.15
17-Jun-16,,200,5,2,14000,0.36
18-Jun-16,,200,4,2,14900,0.27
Statweek 06/3,,,17,14,,
19-Jun-16,,200,4,2,14400,0.28
20-Jun-16,,200,2,2,15200,0.13
21-Jun-16,,200,5,2,15500,0.32
22-Jun-16,,200,6,2,14400,0.42
23-Jun-16,,200,7,2,14600,0.48
24-Jun-16,,200,5,2,14300,0.35
25-Jun-16,,200,5,2,14000,0.36
Statweek 06/4,,,34,14,,
26-Jun-16,,200,2,2,14200,0.14
27-Jun-16,,200,2,2,13400,0.15
28-Jun-16,,200,3,2,13000,0.23
29-Jun-16,,200,2,2,13600,0.15
30-Jun-16,,200,1,2,15100,0.07
1-Jul-16,,200,2,2,15400,0.13
2-Jul-16,,200,4,2,16200,0.25
Statweek 07/1,,,16,14,,
3-Jul-16,,200,5,2,14400,0.35
4-Jul-16,,200,8,2,15600,0.51
5-Jul-16,,200,22,2,16100,1.37
6-Jul-16,,200,10,2,15100,0.66
7-Jul-16,,200,10,2,14100,0.71
8-Jul-16,,200,2,2,14800,0.14
9-Jul-16,,200,10,2,14100,0.71
Statweek 07/2,,,67,14,,
10-Jul-16,,200,4,2,13200,0.3
11-Jul-16,,200,4,2,13500,0.3
12-Jul-16,,200,1,2,14100,0.07
13-Jul-16,,200,22,2,15100,1.46
14-Jul-16,,200,13,2,15500,0.84
15-Jul-16,,200,9,2,14800,0.61
16-Jul-16,,200,22,2,15800,1.39
Statweek 07/3,,,75,14,,
17-Jul-16,,200,13,2,16500,0.79
18-Jul-16,,200,17,2,15900,1.07
19-Jul-16,,200,1,2,15600,0.06
20-Jul-16,,200,11,2,15800,0.7
21-Jul-16,,200,1,2,14900,0.07
22-Jul-16,,200,4,2,15000,0.27
23-Jul-16,,200,5,2,14100,0.35
Statweek 07/4,,,52,14,,
24-Jul-16,,200,7,2,15400,0.45
25-Jul-16,,200,5,2,14500,0.34
26-Jul-16,,200,6,2,14000,0.43
27-Jul-16,,200,8,2,15900,0.5
28-Jul-16,,200,19,2,15900,1.19
29-Jul-16,,200,15,2,17100,0.88
30-Jul-16,,200,12,2,16700,0.72
Statweek 07/5,,,72,14,,
31-Jul-16,,200,18,2,17200,1.05
1-Aug-16,,200,15,2,16500,0.91
2-Aug-16,,200,14,2,15400,0.91
3-Aug-16,,200,13,2,16600,0.78
4-Aug-16,,200,16,2,17200,0.93
5-Aug-16,,200,17,2,16200,1.05
6-Aug-16,,200,17,2,17000,1
Statweek 08/1,,,110,14,,
7-Aug-16,,200,13,2,15700,0.83
8-Aug-16,,200,3,2,16200,0.19
9-Aug-16,,200,6,2,15600,0.38
10-Aug-16,,200,18,2,16700,1.08
11-Aug-16,,200,19,2,16000,1.19
12-Aug-16,,200,24,2,17700,1.36
13-Aug-16,,200,36,2,17300,2.08
Statweek 08/2,,,119,14,,
14-Aug-16,,200,34,2,18400,1.85
15-Aug-16,,200,16,2,16200,0.99
16-Aug-16,,200,18,2,17400,1.03
17-Aug-16,,200,14,2,15900,0.88
18-Aug-16,,200,28,2,17300,1.62
19-Aug-16,,200,47,2,17700,2.66
20-Aug-16,,200,43,2,18400,2.34
Statweek 08/3,,,200,14,,
21-Aug-16,,200,9,2,17600,0.51
22-Aug-16,,200,2,2,16200,0.12
23-Aug-16,,200,5,2,15800,0.32
24-Aug-16,,200,12,2,16000,0.75
25-Aug-16,,200,36,2,16400,2.2
26-Aug-16,,200,27,2,17600,1.53
27-Aug-16,,200,21,2,16200,1.3
Statweek 08/4,,,112,14,,
28-Aug-16,,200,29,2,16900,1.72
29-Aug-16,,200,16,2,16000,1
30-Aug-16,,200,29,2,16800,1.73
31-Aug-16,,200,30,2,16900,1.78
2-Sep-16,,200,7,2,16200,0.43
Statweek 09/1,,,111,10,,
4-Sep-16,,200,12,2,16400,0.73
6-Sep-16,,200,6,2,15500,0.39
8-Sep-16,,200,5,2,15500,0.32
10-Sep-16,,200,6,2,16300,0.37
Statweek 09/2,,,29,8,,
12-Sep-16,,200,18,2,16600,1.08
14-Sep-16,,200,9,1,8900,1.01
16-Sep-16,,200,4,2,15900,0.25
Statweek 09/3,,,31,5,,
18-Sep-16,,200,6,2,16500,0.36
20-Sep-16,,200,12,2,15300,0.78
22-Sep-16,,200,23,2,16900,1.36
24-Sep-16,,200,29,2,18000,1.61
Statweek 09/4,,,70,8,,
26-Sep-16,,200,9,2,18000,0.5
28-Sep-16,,200,13,2,17200,0.76
30-Sep-16,,200,1,2,17700,0.06
Statweek 10/1,,,23,6,,
2-Oct-16,,200,11,2,19100,0.58
4-Oct-16,,200,19,2,20000,0.95
6-Oct-16,,200,3,2,22300,0.13
8-Oct-16,,200,12,2,22200,0.54
Statweek 10/2,,,45,8,,
10-Oct-16,,200,5,2,22500,0.22
12-Oct-16,,200,0,2,25200,0
14-Oct-16,,200,8,2,17800,0.45
Statweek 10/3,,,13,6,,
16-Oct-16,,200,7,2,15500,0.45
18-Oct-16,,200,2,2,23200,0.09
20-Oct-16,,200,2,2,23000,0.09
Statweek 10/4,,,11,6,,
