Date,,Net Length,Catch,Sets,Effort,CPUE
22-Apr-18,,200,0,2,16700,0
23-Apr-18,,200,0,2,16600,0
24-Apr-18,,200,0,2,15600,0
25-Apr-18,,200,0,2,15800,0
26-Apr-18,,200,0,2,16000,0
27-Apr-18,,200,0,2,15900,0
28-Apr-18,,200,0,2,15200,0
Statweek 04/4,,,0,14,,
29-Apr-18,,200,0,2,16500,0
30-Apr-18,,200,0,2,13000,0
1-May-18,,200,0,2,12800,0
2-May-18,,200,0,2,13200,0
3-May-18,,200,0,2,10500,0
4-May-18,,200,0,2,12200,0
5-May-18,,200,0,2,11900,0
Statweek 04/5,,,0,14,,
6-May-18,,200,0,2,12700,0
7-May-18,,200,0,2,12700,0
8-May-18,,200,0,2,11500,0
9-May-18,,200,1,2,10900,0.09
10-May-18,,200,0,2,9900,0
11-May-18,,200,0,2,10200,0
12-May-18,,200,0,2,9300,0
Statweek 05/1,,,1,14,,
13-May-18,,200,0,2,9600,0
14-May-18,,200,0,2,10300,0
15-May-18,,200,0,2,9400,0
16-May-18,,200,0,2,9800,0
17-May-18,,200,0,2,10000,0
18-May-18,,200,0,2,10200,0
19-May-18,,200,0,2,10100,0
Statweek 05/2,,,0,14,,
20-May-18,,200,0,2,10100,0
21-May-18,,200,0,2,9600,0
22-May-18,,200,0,2,9500,0
23-May-18,,200,0,2,8900,0
24-May-18,,200,0,2,9700,0
25-May-18,,200,0,2,9700,0
26-May-18,,200,0,2,9900,0
Statweek 05/3,,,0,14,,
27-May-18,,200,0,2,9800,0
28-May-18,,200,0,2,9100,0
29-May-18,,200,0,2,9500,0
30-May-18,,200,0,2,9800,0
31-May-18,,200,0,2,9500,0
1-Jun-18,,200,0,2,11000,0
2-Jun-18,,200,0,2,10000,0
Statweek 05/4,,,0,14,,
3-Jun-18,,200,0,2,10600,0
4-Jun-18,,200,0,2,10700,0
5-Jun-18,,200,0,2,10900,0
6-Jun-18,,200,0,2,11000,0
7-Jun-18,,200,1,2,11600,0.09
8-Jun-18,,200,0,2,11400,0
9-Jun-18,,200,4,2,12300,0.33
Statweek 06/1,,,5,14,,
10-Jun-18,,200,0,2,12200,0
11-Jun-18,,200,0,2,12200,0
12-Jun-18,,200,1,2,12700,0.08
13-Jun-18,,200,2,2,13100,0.15
14-Jun-18,,200,0,2,14000,0
15-Jun-18,,200,0,2,12800,0
16-Jun-18,,200,1,2,12600,0.08
Statweek 06/2,,,4,14,,
17-Jun-18,,200,0,2,13100,0
18-Jun-18,,200,1,2,12300,0.08
19-Jun-18,,200,1,2,12200,0.08
20-Jun-18,,200,1,2,12100,0.08
21-Jun-18,,200,0,2,11900,0
22-Jun-18,,200,4,2,11600,0.34
23-Jun-18,,200,3,2,11200,0.27
Statweek 06/3,,,10,14,,
24-Jun-18,,200,2,2,11800,0.17
25-Jun-18,,200,1,2,12100,0.08
26-Jun-18,,200,2,2,12400,0.16
27-Jun-18,,200,2,2,13100,0.15
28-Jun-18,,200,0,2,12500,0
29-Jun-18,,200,1,2,12300,0.08
30-Jun-18,,200,0,2,12400,0
Statweek 06/4,,,8,14,,
1-Jul-18,,200,4,2,12800,0.31
2-Jul-18,,200,1,2,12400,0.08
3-Jul-18,,200,3,2,13400,0.22
4-Jul-18,,200,10,2,13300,0.75
5-Jul-18,,200,8,2,14200,0.56
6-Jul-18,,200,10,2,13700,0.73
7-Jul-18,,200,14,2,13600,1.03
Statweek 07/1,,,50,14,,
8-Jul-18,,200,3,2,14000,0.21
9-Jul-18,,200,2,2,14300,0.14
10-Jul-18,,200,3,2,14800,0.2
11-Jul-18,,200,2,2,15800,0.13
12-Jul-18,,200,5,2,15400,0.32
13-Jul-18,,200,6,2,16000,0.38
14-Jul-18,,200,2,2,14300,0.14
Statweek 07/2,,,23,14,,
15-Jul-18,,200,1,2,15200,0.07
16-Jul-18,,200,1,2,15400,0.06
17-Jul-18,,200,0,2,15100,0
18-Jul-18,,200,2,2,15400,0.13
19-Jul-18,,200,2,2,14800,0.14
20-Jul-18,,200,2,2,14800,0.14
21-Jul-18,,200,6,2,15800,0.38
Statweek 07/3,,,14,14,,
22-Jul-18,,200,5,2,15600,0.32
23-Jul-18,,200,9,2,15100,0.6
24-Jul-18,,200,10,2,16400,0.61
25-Jul-18,,200,5,2,16500,0.3
26-Jul-18,,200,15,2,16400,0.91
27-Jul-18,,200,8,2,17100,0.47
28-Jul-18,,200,3,2,15900,0.19
Statweek 07/4,,,55,14,,
29-Jul-18,,200,11,2,15500,0.71
30-Jul-18,,200,8,2,16400,0.49
31-Jul-18,,200,4,2,15200,0.26
1-Aug-18,,200,0,2,15000,0
2-Aug-18,,200,0,2,15200,0
