Sight.Date,Time,Location,Location.2,ActLat,ActLong,Species,Pod,LikelyPod,Count,Direction,Comments,Channel,Source,ReportingParty,Hydrophone,Harrassment,SJCStranding,OtherStranding,FieldInvestigation,LevelANumber,RecordID,FishArea,Quadrant
12/17/86,14:00,Point Williams,,0.00,0,Orca,,SRs,8-12,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75680,10,414
12/19/86,12:30,Point Williams,,0.00,0,Orca,,SRs,20-25,S,3 males,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75681,10,414
10/3/91,18:20,Point Williams,,0.00,0,Orca,JKL?,,,S,more than JK,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75789,10,414
11/21/91,11:30,Point Williams,,0.00,0,Orca,J,,,N,18.5 hrs. after last sighting,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75795,10,414
10/22/92,,"Elliott Bay, off of",,0.00,0,Orca,J,,,,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,67879,10,410
10/30/92,18:00,"Colvos Passage, S half",,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,65682,11,418
10/30/92,13:40,"Blake Island, S of",,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,64680,10,412
10/31/92,8:30,West Point,,0.00,0,Orca,J,,,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81179,10,408
11/3/92,9:25,Point Williams,,0.00,0,Orca,J,,,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75797,10,414
11/3/92,9:00,Fauntleroy,,0.00,0,Orca,J,,8-10,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,68245,10,414
11/3/92,11:30,"Elliott Bay, off of",,0.00,0,Orca,J,,,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,67880,10,410
1/1/93,15:15,Robinson Point,,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,77248,11,419
1/1/93,13:00,Point Williams,,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75798,10,414
1/1/93,16:45,Dash Point,,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,65903,11,420
1/1/93,,Alki Point,,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,62411,10,413
1/2/93,16:00,West Point,,0.00,0,Orca,J,,,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81181,10,408
1/2/93,13:00,Point Williams,,0.00,0,Orca,J,,,N,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75800,10,414
3/25/93,8:15,West Seattle,,0.00,0,Orca,Ts,,3-4,,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81194,10,413
12/19/93,13:13,Point Whitney Shellfish Lab,,0.00,0,Orca,,,7-12+,S,Spent 4 hours in bay,Hotline,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81489,12,442
12/27/93,,West Seattle,,0.00,0,Orca,J,,,N,later in day - P.M. sighting,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81195,10,413
12/27/93,,"Colvos Passage, S half",,0.00,0,Orca,J,,,S,A.M. sightings,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,65683,11,418
1/18/94,,West Seattle,,0.00,0,Orca,J,,,,There all afternoon,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,81196,10,413
11/3/94,17:15,"Spring Beach, Vashon Island",,0.00,0,Orca,J,,,N,3 news calves present,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,79477,11,418
11/3/94,15:00,Quartermaster Harbor,mouth of,0.00,0,Orca,J,,,N,Headed up Colvos Passage,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,76856,11,420
12/15/94,,Three Tree Point (aka Point Pully),,0.00,0,Orca,J?,,,,Almost positive on ID,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,80156,11,416
12/16/94,13:50,Robinson Point,,0.00,0,Orca,,J,,S,Feeding on chums,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,77256,11,419
12/17/94,14:45,Point Beals,Vashon,0.00,0,Orca,,,pod,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75203,11,415
12/31/94,16:15,Point Defiance,,0.00,0,Orca,J,,,,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,75317,11,422
12/31/94,13:00,Maury Island,,0.00,0,Orca,J,,,S,,HDB,Sears,,FALSE,FALSE,FALSE,FALSE,FALSE,,73482,11,419
