Date,,Net Length,Catch,Sets,Effort,CPUE
21-Apr-19,,200,0,2,15800,0
22-Apr-19,,200,0,2,15300,0
23-Apr-19,,200,0,2,15900,0
24-Apr-19,,200,0,2,14800,0
25-Apr-19,,200,0,2,14100,0
26-Apr-19,,200,0,2,13200,0
27-Apr-19,,200,0,2,13800,0
Statweek 04/4,,,0,14,,
28-Apr-19,,200,0,2,12500,0
29-Apr-19,,200,0,2,14900,0
30-Apr-19,,200,0,2,15500,0
1-May-19,,200,0,2,15800,0
2-May-19,,200,0,2,17300,0
3-May-19,,200,2,2,16000,0.13
4-May-19,,200,1,2,15800,0.06
Statweek 04/5,,,3,14,,
5-May-19,,200,2,2,15700,0.13
6-May-19,,200,1,2,15400,0.06
7-May-19,,200,1,2,15800,0.06
8-May-19,,200,0,2,15400,0
9-May-19,,200,0,2,14900,0
10-May-19,,200,0,2,15400,0
11-May-19,,200,0,2,14700,0
Statweek 05/1,,,4,14,,
12-May-19,,200,0,1,6500,0
13-May-19,,200,0,2,12800,0
14-May-19,,200,0,2,12500,0
15-May-19,,200,0,2,12800,0
16-May-19,,200,0,2,12300,0
17-May-19,,200,0,2,12600,0
18-May-19,,200,0,2,13400,0
Statweek 05/2,,,0,13,,
19-May-19,,200,0,2,12700,0
20-May-19,,200,0,2,12600,0
21-May-19,,200,0,2,12900,0
22-May-19,,200,1,2,12400,0.08
23-May-19,,200,0,2,12800,0
24-May-19,,200,0,2,12100,0
25-May-19,,200,1,2,12100,0.08
Statweek 05/3,,,2,14,,
26-May-19,,200,0,2,11800,0
27-May-19,,200,0,2,12200,0
28-May-19,,200,0,2,10900,0
29-May-19,,200,0,2,11000,0
30-May-19,,200,0,2,11300,0
31-May-19,,200,0,2,11300,0
1-Jun-19,,200,1,2,11500,0.09
Statweek 05/4,,,1,14,,
2-Jun-19,,200,0,2,11500,0
3-Jun-19,,200,1,2,11300,0.09
4-Jun-19,,200,0,2,11100,0
5-Jun-19,,200,0,2,11300,0
6-Jun-19,,200,0,2,11600,0
7-Jun-19,,200,0,2,11700,0
8-Jun-19,,200,0,2,12100,0
Statweek 06/1,,,1,14,,
9-Jun-19,,200,3,2,12400,0.24
10-Jun-19,,200,0,2,12700,0
11-Jun-19,,200,1,2,13000,0.08
12-Jun-19,,200,6,2,13800,0.43
13-Jun-19,,200,4,2,14100,0.28
14-Jun-19,,200,3,2,14400,0.21
15-Jun-19,,200,3,2,14700,0.2
Statweek 06/2,,,20,14,,
16-Jun-19,,200,3,2,15800,0.19
17-Jun-19,,200,1,2,13800,0.07
18-Jun-19,,200,3,2,14500,0.21
19-Jun-19,,200,5,2,13600,0.37
20-Jun-19,,200,3,2,13000,0.23
21-Jun-19,,200,4,2,12800,0.31
22-Jun-19,,200,2,2,13000,0.15
Statweek 06/3,,,21,14,,
23-Jun-19,,200,2,2,12600,0.16
24-Jun-19,,200,5,2,13300,0.38
25-Jun-19,,200,3,2,13500,0.22
26-Jun-19,,200,3,2,13400,0.22
27-Jun-19,,200,10,2,13900,0.72
28-Jun-19,,200,5,2,15200,0.33
29-Jun-19,,200,7,2,15600,0.45
Statweek 06/4,,,35,14,,
30-Jun-19,,200,4,2,15400,0.26
1-Jul-19,,200,12,2,16300,0.74
2-Jul-19,,200,11,2,15500,0.71
3-Jul-19,,200,13,2,15700,0.83
4-Jul-19,,200,10,2,15600,0.64
5-Jul-19,,200,7,2,11700,0.6
6-Jul-19,,200,0,2,13400,0
Statweek 07/1,,,57,14,,
7-Jul-19,,200,1,2,13700,0.07
8-Jul-19,,200,1,2,13300,0.08
9-Jul-19,,200,4,2,13500,0.3
10-Jul-19,,200,1,2,13200,0.08
11-Jul-19,,200,3,2,14000,0.21
12-Jul-19,,200,2,2,15100,0.13
13-Jul-19,,200,15,2,15800,0.95
Statweek 07/2,,,27,14,,
14-Jul-19,,200,3,2,15100,0.2
15-Jul-19,,200,5,2,15300,0.33
16-Jul-19,,200,8,2,15800,0.51
17-Jul-19,,200,2,2,15300,0.13
18-Jul-19,,200,4,2,15400,0.26
19-Jul-19,,200,6,2,14000,0.43
20-Jul-19,,200,3,2,12800,0.23
Statweek 07/3,,,31,14,,
21-Jul-19,,200,1,2,13500,0.07
22-Jul-19,,200,1,2,12700,0.08
23-Jul-19,,200,2,2,13200,0.15
24-Jul-19,,200,0,2,13200,0
25-Jul-19,,200,9,2,13300,0.68
26-Jul-19,,200,7,2,14600,0.48
27-Jul-19,,200,4,2,15700,0.25
Statweek 07/4,,,24,14,,
28-Jul-19,,200,12,2,16700,0.72
29-Jul-19,,200,4,2,15600,0.26
30-Jul-19,,200,7,2,15900,0.44
Statweek 07/5,,,23,6,,
